Year,Name,Salary
2010,Aaron Brooks,2016692.0
2010,Aaron Gray,1028840.0
2010,Acie Law,633253.0
2010,Al Harrington,5765000.0
2010,Al Horford,5444857.0
2010,Al Jefferson,13000000.0
2010,Al Thornton,211084.0
2010,Al-Farouq Aminu,2563320.0
2010,Alando Tucker,1071720.0
2010,Alexander Johnson,885120.0
2010,Alexis Ajinca,1467840.0
2010,Allen Iverson,650686.0
2010,Alonzo Gee,641141.0
2010,Amar'e Stoudemire,16486611.0
2010,Anderson Varejao,7281818.0
2010,Andray Blatche,5904152.0
2010,Andre Iguodala,12345250.0
2010,Andre Miller,7269264.0
2010,Andrea Bargnani,8500000.0
2010,Andrei Kirilenko,17823000.0
2010,Andres Nocioni,6850000.0
2010,Andrew Bogut,11000000.0
2010,Andrew Bynum,13700000.0
2010,Andris Biedrins,9000000.0
2010,Andy Rautins,600000.0
2010,Antawn Jamison,13358905.0
2010,Anthony Johnson,2062800.0
2010,Anthony Parker,2855769.0
2010,Anthony Randolph,1965720.0
2010,Anthony Tolliver,2200000.0
2010,Antoine Wright,854389.0
2010,Antonio McDyess,4860000.0
2010,Arron Afflalo,1959577.0
2010,Austin Daye,1803720.0
2010,Avery Bradley,1418160.0
2010,Baron Davis,14000000.0
2010,Ben Gordon,10800000.0
2010,Ben Wallace,2080000.0
2010,Beno Udrih,6478600.0
2010,Blake Griffin,5357280.0
2010,Boris Diaw,9000000.0
2010,Brad Miller,4400000.0
2010,Brandan Wright,3398072.0
2010,Brandon Jennings,2331120.0
2010,Brandon Roy,13603750.0
2010,Brandon Rush,2069040.0
2010,Brendan Haywood,6900000.0
2010,Brent Barry,2062800.0
2010,Brian Butch,762195.0
2010,Brian Cook,1146337.0
2010,Brian Skinner,668434.0
2010,Brook Lopez,2413320.0
2010,Bruce Bowen,4100000.0
2010,Byron Mullens,1204200.0
2010,C.J. Watson,3600000.0
2010,CJ Miles,3700000.0
2010,Carlos Arroyo,196007.0
2010,Carlos Boozer,14400000.0
2010,Carmelo Anthony,17149243.0
2010,Caron Butler,10561960.0
2010,Cedric Jackson,40375.0
2010,Channing Frye,5200000.0
2010,Charlie Bell,4447792.0
2010,Charlie Villanueva,7020000.0
2010,Chase Budinger,780871.0
2010,Chauncey Billups,13150000.0
2010,Chris Andersen,4533300.0
2010,Chris Bosh,14500000.0
2010,Chris Duhon,3500000.0
2010,Chris Johnson,88363.0
2010,Chris Kaman,11800000.0
2010,Chris Paul,14940153.0
2010,Chris Quinn,804131.0
2010,Chris Wilcox,3000000.0
2010,Christian Eyenga,1020960.0
2010,Chuck Hayes,1972500.0
2010,Cole Aldrich,2126520.0
2010,Corey Brewer,3875000.0
2010,Corey Maggette,9600000.0
2010,Courtney Lee,1352640.0
2010,Craig Brackins,1306920.0
2010,Craig Smith,2300000.0
2010,Curtis Jerrells,762195.0
2010,Cuttino Mobley,9500000.0
2010,D.J. Augustin,2540000.0
2010,D.J. White,1108680.0
2010,Da'Sean Butler,125000.0
2010,Daequan Cook,2169857.0
2010,Dahntay Jones,2500000.0
2010,Damien Wilkins,482478.0
2010,Damion James,1156320.0
2010,Dan Gadzuric,7248325.0
2010,Daniel Gibson,4015334.0
2010,Daniel Orton,1028400.0
2010,Danilo Gallinari,3304560.0
2010,Danny Granger,10973202.0
2010,Danny Green,130022.0
2010,Dante Cunningham,762195.0
2010,Darius Miles,854389.0
2010,Darius Songaila,4818000.0
2010,Darko Milicic,4325000.0
2010,Darrell Arthur,1123680.0
2010,Darren Collison,1361040.0
2010,Darryl Watkins,762195.0
2010,David Andersen,2500000.0
2010,David Lee,10800000.0
2010,David West,8287500.0
2010,DeJuan Blair,918000.0
2010,DeMar DeRozan,2453880.0
2010,DeMarcus Cousins,3374640.0
2010,DeMarre Carroll,1085400.0
2010,DeSagana Diop,6478600.0
2010,DeShawn Stevenson,4151786.0
2010,Derek Fisher,3700000.0
2010,Deron Washington,457588.0
2010,Deron Williams,14940153.0
2010,Derrick Brown,762195.0
2010,Derrick Byars,457588.0
2010,Derrick Favors,4133280.0
2010,Derrick Rose,5546160.0
2010,Devin Harris,8981000.0
2010,Dexter Pittman,473604.0
2010,Dikembe Mutombo,1823280.0
2010,Dirk Nowitzki,17278618.0
2010,Dominic McGuire,211084.0
2010,Dominique Jones,1110120.0
2010,Donte Greene,930700.0
2010,Dontell Jefferson,736420.0
2010,Dorell Wright,3540000.0
2010,Drew Gooden,5765000.0
2010,Dwayne Jones II,854389.0
2010,Dwight Howard,16647180.0
2010,Dwyane Wade,14200000.0
2010,Earl Barron,11679.0
2010,Earl Clark,1898760.0
2010,Ed Davis,1919160.0
2010,Eddie House,1352181.0
2010,Eddy Curry,11530592.0
2010,Eduardo Najera,3000000.0
2010,Ekpe Udoh,3065040.0
2010,Elliot Williams,1254720.0
2010,Elton Brand,15959099.0
2010,Emeka Okafor,11495000.0
2010,Eric Bledsoe,1485000.0
2010,Eric Gordon,3016680.0
2010,Eric Maynor,1417800.0
2010,Erick Dampier,713666.0
2010,Ersan Ilyasova,2320500.0
2010,Etan Thomas,854389.0
2010,Evan Turner,4602720.0
2010,Francisco Garcia,5500000.0
2010,Gabe Pruitt,825497.0
2010,Gani Lawal,473604.0
2010,Garret Siler,473604.0
2010,Garrett Temple,80703.0
2010,Gary Forbes,473604.0
2010,Gary Neal,525000.0
2010,Gerald Henderson,2103840.0
2010,Gerald Wallace,10500000.0
2010,Gilbert Arenas,17730694.0
2010,Glen Davis,3000004.0
2010,Goran Dragic,1972000.0
2010,Gordon Hayward,2356320.0
2010,Grant Hill,3240000.0
2010,Greg Buckner,4080915.0
2010,Greg Monroe,2798040.0
2010,Greg Oden,6760524.0
2010,Greg Stiemsma,762195.0
2010,Greivis Vasquez,1035960.0
2010,Hakim Warrick,4250000.0
2010,Hamed Haddadi,1600000.0
2010,Hasheem Thabeet,4793280.0
2010,Hassan Whiteside,730437.0
2010,Hedo Turkoglu,10215850.0
2010,Ian Mahinmi,885120.0
2010,Ike Diogu,567917.0
2010,Ime Udoka,708640.0
2010,Ish Smith,473604.0
2010,J.J. Barea,1815000.0
2010,JJ Hickson,1528920.0
2010,JJ Redick,7250000.0
2010,JR Smith,6757851.0
2010,JaVale McGee,1601040.0
2010,Jamal Crawford,10800000.0
2010,Jamario Moon,3000000.0
2010,Jameer Nelson,7800000.0
2010,James Anderson,1361400.0
2010,James Harden,4304520.0
2010,James Johnson,1713600.0
2010,James Jones,1146337.0
2010,James Posey,7148800.0
2010,James Singleton,1030189.0
2010,Jannero Pargo,168579.0
2010,Jared Dudley,2151068.0
2010,Jared Jeffries,221136.0
2010,Jarrett Jack,4600000.0
2010,Jason Kapono,6641440.0
2010,Jason Kidd,8610500.0
2010,Jason Maxiell,5000000.0
2010,Jason Richardson,14444443.0
2010,Jason Smith,2187913.0
2010,Jason Terry,9873000.0
2010,Jason Thompson,2178000.0
2010,Jason Williams,524964.0
2010,Javaris Crittenton,854389.0
2010,Jawad Williams,1029389.0
2010,Jeff Adrien,133723.0
2010,Jeff Foster,6655000.0
2010,Jeff Green,4455988.0
2010,Jeff Teague,1476840.0
2010,Jeremy Evans,473604.0
2010,Jermaine Taylor,780871.0
2010,Jerome James,6600000.0
2010,Jerryd Bayless,2292600.0
2010,Joakim Noah,3128536.0
2010,Jodie Meeks,762195.0
2010,Joe Crawford,736420.0
2010,Joe Johnson,16324500.0
2010,Joel Anthony,3300000.0
2010,Joel Przybilla,7725470.0
2010,Joey Graham,992680.0
2010,Johan Petro,3250000.0
2010,John Lucas III,130165.0
2010,John Salmons,8000000.0
2010,John Wall,5144280.0
2010,Jon Brockman,1000000.0
2010,Jonny Flynn,3192000.0
2010,Jordan Crawford,1042320.0
2010,Jordan Farmar,3750000.0
2010,Jordan Hill,2669520.0
2010,Jose Calderon,9000000.0
2010,Josh Childress,6500000.0
2010,Josh McRoberts,885120.0
2010,Josh Smith,11700000.0
2010,Jrue Holiday,1627920.0
2010,Julian Wright,2858057.0
2010,Kareem Rush,825497.0
2010,Keith Bogans,1600000.0
2010,Kelenna Azubuike,3300000.0
2010,Kendrick Perkins,6696720.0
2010,Kenyon Martin,16545454.0
2010,Kevin Durant,6053663.0
2010,Kevin Garnett,18832044.0
2010,Kevin Love,3638280.0
2010,Kevin Martin,10600005.0
2010,Kevin Ollie,825497.0
2010,Kevin Seraphin,1563120.0
2010,Keyon Dooling,2080000.0
2010,Kirk Hinrich,9100000.0
2010,Kobe Bryant,24806250.0
2010,Kosta Koufos,1298640.0
2010,Kris Humphries,3200000.0
2010,Kurt Thomas,1800000.0
2010,Kyle Korver,5000000.0
2010,Kyle Lowry,5750000.0
2010,Kyle Weaver,854389.0
2010,Kyrylo Fesenko,1087500.0
2010,LaMarcus Aldridge,11244000.0
2010,Lamar Odom,8200000.0
2010,Lance Stephenson,750000.0
2010,Landry Fields,473604.0
2010,Larry Owens,22287.0
2010,Larry Sanders,1731960.0
2010,Lazar Hayward,1020960.0
2010,LeBron James,14500000.0
2010,Leandro Barbosa,7100000.0
2010,Leon Powe,201033.0
2010,Lester Hudson,515603.0
2010,Linas Kleiza,4995000.0
2010,Lou Amundson,2225000.0
2010,Luis Scola,7775378.0
2010,Luke Babbitt,1645440.0
2010,Luke Ridnour,4000000.0
2010,Luke Walton,5260000.0
2010,Luol Deng,11345000.0
2010,Magnum Rolle,8358.0
2010,Malik Hairston,854389.0
2010,Manu Ginobili,11854584.0
2010,Marc Gasol,3573333.0
2010,Marcin Gortat,6322320.0
2010,Marco Belinelli,2380270.0
2010,Marcus Banks,4847586.0
2010,Marcus Camby,11749832.0
2010,Marcus Cousin,25000.0
2010,Marcus Haislip,855189.0
2010,Mario Chalmers,854389.0
2010,Mario West,20103.0
2010,Mark Blount,7967375.0
2010,Mark Madsen,2840000.0
2010,Marko Jaric,7100000.0
2010,Marquis Daniels,2388000.0
2010,Marqus Blakely,15000.0
2010,Marreese Speights,1773960.0
2010,Martell Webster,4800000.0
2010,Marvin Williams,7262500.0
2010,Matt Barnes,1765000.0
2010,Matt Bonner,3050000.0
2010,Matt Carroll,4300000.0
2010,Maurice Evans,2500000.0
2010,Mehmet Okur,9945000.0
2010,Metta World Peace,6322320.0
2010,Michael Beasley,4962240.0
2010,Michael Redd,18300000.0
2010,Mickael Pietrus,5300000.0
2010,Mike Bibby,216110.0
2010,Mike Conley,4913077.0
2010,Mike Dunleavy,10561984.0
2010,Mike James,6466600.0
2010,Mike Taylor,736420.0
2010,Mike Wilks,679821.0
2010,Mikki Moore,825497.0
2010,Mo Williams,9300000.0
2010,Monta Ellis,11000000.0
2010,Morris Peterson,6665000.0
2010,Mouhamed Sene,855189.0
2010,Mustafa Shakur,226162.0
2010,Nate Robinson,4200000.0
2010,Nazr Mohammed,6883800.0
2010,Nenad Krstic,5543116.0
2010,Nene Hilario,11360000.0
2010,Nick Collison,13270000.0
2010,Nick Young,2630503.0
2010,Nicolas Batum,1196760.0
2010,Nikola Pekovic,4275000.0
2010,O.J. Mayo,4456200.0
2010,Oliver Lafayette,762195.0
2010,Omer Asik,1721000.0
2010,Omri Casspi,1254480.0
2010,Othello Hunter,736420.0
2010,Othyus Jeffers,35868.0
2010,Patrick Beverley,473604.0
2010,Patrick Ewing Jr.,25073.0
2010,Patrick Patterson,1823280.0
2010,Patty Mills,937195.0
2010,Pau Gasol,17823000.0
2010,Paul Davis,825497.0
2010,Paul George,2238360.0
2010,Paul Millsap,7600000.0
2010,Paul Pierce,13876321.0
2010,Peja Stojakovic,402065.0
2010,Pops Mensah-Bonsu,885120.0
2010,Quentin Richardson,2265000.0
2010,Quincy Douby,855189.0
2010,Quincy Pondexter,1073280.0
2010,Quinton Ross,1033342.0
2010,Raja Bell,3000000.0
2010,Rajon Rondo,9090911.0
2010,Ramon Sessions,3964320.0
2010,Randy Foye,4250000.0
2010,Rashard Lewis,19573711.0
2010,Rasheed Wallace,6322320.0
2010,Rasho Nesterovic,1990000.0
2010,Rasual Butler,211084.0
2010,Ray Allen,10000000.0
2010,Raymond Felton,7000000.0
2010,Reggie Evans,5080000.0
2010,Renaldo Balkman,1675000.0
2010,Richard Hamilton,12500000.0
2010,Richard Jefferson,8400000.0
2010,Ricky Davis,2400000.0
